gen,evals,avg,std,min,max
<torch._C.Generator object at 0x16ddc9e90>,100,4.2949880862236025,0.37753752924601813,2.782203197479248,5.220952987670898
<torch._C.Generator object at 0x16ddc9e90>,100,3.920442817211151,0.4986859078231989,2.37209415435791,4.824422836303711
<torch._C.Generator object at 0x16ddc9e90>,100,3.7370908498764037,0.6021460382637802,2.128396987915039,4.879117012023926
<torch._C.Generator object at 0x16ddc9e90>,100,3.4220972883701326,0.32860205504655204,1.667977213859558,4.0425333976745605
<torch._C.Generator object at 0x16ddc9e90>,100,3.14240825176239,0.34747926588932504,1.5944395065307617,3.7414662837982178
<torch._C.Generator object at 0x16ddc9e90>,100,3.2123104333877563,0.2690245856562212,1.7733888626098633,3.6227176189422607
<torch._C.Generator object at 0x16ddc9e90>,100,2.761271742582321,0.1829017658525906,1.4857550859451294,2.9142422676086426
<torch._C.Generator object at 0x16ddc9e90>,100,2.8043379414081575,0.24714499656409478,1.4975255727767944,3.147444486618042
<torch._C.Generator object at 0x16ddc9e90>,100,2.753814799785614,0.20479271131951035,1.0579206943511963,3.03879451751709
<torch._C.Generator object at 0x16ddc9e90>,100,3.0606712245941163,0.2713291800230339,1.1812160015106201,3.373250961303711
<torch._C.Generator object at 0x16ddc9e90>,100,3.115178701877594,0.30244661935331874,1.2197999954223633,3.5654592514038086
<torch._C.Generator object at 0x16ddc9e90>,100,3.115347498655319,0.4736549877753897,1.104552149772644,3.9262547492980957
<torch._C.Generator object at 0x16ddc9e90>,100,3.5053682208061216,0.5875888764939221,1.2648825645446777,4.275425434112549
<torch._C.Generator object at 0x16ddc9e90>,100,3.492646350860596,0.6973524509198421,1.2450449466705322,4.515870094299316
<torch._C.Generator object at 0x16ddc9e90>,100,3.3864114022254945,0.7478224324724033,1.0969750881195068,4.444787979125977
<torch._C.Generator object at 0x16ddc9e90>,100,3.479921352863312,0.8110670934802141,1.0069844722747803,4.630952835083008
<torch._C.Generator object at 0x16ddc9e90>,100,3.6159262919425963,0.7103965289676738,1.3079564571380615,4.487457275390625
<torch._C.Generator object at 0x16ddc9e90>,100,3.406610116958618,0.5419764840558914,1.250319480895996,4.113781929016113
<torch._C.Generator object at 0x16ddc9e90>,100,3.6814938616752624,0.6403681727850861,1.2091658115386963,4.431665420532227
<torch._C.Generator object at 0x16ddc9e90>,100,3.3819440484046934,0.5400105381887249,1.169135570526123,4.002346992492676
<torch._C.Generator object at 0x16ddc9e90>,100,3.598560507297516,0.5690046011991293,1.130199909210205,4.236017227172852
<torch._C.Generator object at 0x16ddc9e90>,100,3.7770507454872133,0.84856420710958,1.2169749736785889,4.625514030456543
<torch._C.Generator object at 0x16ddc9e90>,100,3.8139118534326553,0.7223521504415107,0.9298017621040344,4.462240219116211
<torch._C.Generator object at 0x16ddc9e90>,100,3.316381567120552,0.5030847449245568,0.9940014481544495,4.026092529296875
<torch._C.Generator object at 0x16ddc9e90>,100,3.7872669291496277,0.7492301827903368,1.0134856700897217,4.503856658935547
<torch._C.Generator object at 0x16ddc9e90>,100,3.8020568799972536,0.7739950179774829,1.3257946968078613,4.578202724456787
<torch._C.Generator object at 0x16ddc9e90>,100,3.560388171672821,0.6151344880961218,1.144521713256836,4.150521278381348
<torch._C.Generator object at 0x16ddc9e90>,100,3.656200383901596,0.7713763066690424,1.1853779554367065,4.390772819519043
<torch._C.Generator object at 0x16ddc9e90>,100,3.5417109394073485,0.5974473737567471,1.2748832702636719,4.160213947296143
<torch._C.Generator object at 0x16ddc9e90>,100,3.500363229513168,0.6573070166402513,1.0047649145126343,4.122081756591797
